thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_after.keys,tob_instr_key_after.rt,tob_instr_key_after.duration,tob_slider_after.response,tob_slider_after.rt,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,effort_loop.thisRepN,effort_loop.thisTrialN,effort_loop.thisN,effort_loop.thisIndex,tob_block_after.thisRepN,tob_block_after.thisTrialN,tob_block_after.thisN,tob_block_after.thisIndex,tob_items_after.thisRepN,tob_items_after.thisTrialN,tob_items_after.thisN,tob_items_after.thisIndex,thisRow.t,notes,group,order,cost,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,demo.started,demo_text.started,lbl_sex.started,sex.started,lbl_age.started,age.started,lbl_study.started,study.started,demo_next.started,demo.stopped,sex.response,sex.rt,age.text,study.text,demo_next.numClicks,demo_next.timesOn,demo_next.timesOff,sex,age,study,choice.started,choice_text.started,btn_magic.started,btn_skip.started,choice.stopped,choice,choice_rt,btn_magic.numClicks,btn_magic.timesOn,btn_magic.timesOff,btn_skip.numClicks,btn_skip.timesOn,btn_skip.timesOff,effort.started,effort_text.started,effort_box.started,effort_done.started,effort.stopped,effort_loop.effort_box.text,effort_loop.effort_done.numClicks,effort_loop.effort_done.timesOn,effort_loop.effort_done.timesOff,effort_len,effort_m,effort_time,rating.started,rating_text.started,lbl_imp.started,importance.started,lbl_ctrl.started,control.started,rating_done.started,rating.stopped,importance.response,importance.rt,control.response,control.rt,rating_done.numClicks,rating_done.timesOn,rating_done.timesOff,tob_instr_after.started,tob_instr_text_after.started,tob_instr_key_after.started,tob_instr_after.stopped,tob_block_after.tob_instr_key_after.keys,tob_block_after.tob_instr_key_after.rt,tob_block_after.tob_instr_key_after.duration,tob_item_after.started,tob_text_after.started,tob_slider_after.started,tob_item_after.stopped,tob_items_after.tob_slider_after.response,tob_items_after.tob_slider_after.rt,tob_1,tob_2,tob_3,tob_4,tob_5,tob_6,tob_7,tob_8,tob_9,tob_10,tob_11,tob_12,tob_13,tob_14,tob_15,tob_16,tob_17,tob_18,tob_19,tob_20,tob_21,tob_22,tob_23,tob_24,tob_25,tob_26,suspicion.started,susp_text.started,susp_box.started,susp_done.started,suspicion.stopped,susp_box.text,susp_done.numClicks,susp_done.timesOn,susp_done.timesOff,thanks.started,thanks_text.started,thanks_key.started,thanks.stopped,thanks_key.keys,thanks_key.rt,thanks_key.duration,participant,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,after,hard,0.01048337499742047,0.017743500000506174,0.017743500000506174,10.520547957999952,space,9.77319287499995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,10.525190332999045,10.544246040997677,10.544246040997677,10.544246040997677,10.544246040997677,10.544246040997677,10.544246040997677,10.544246040997677,10.544246040997677,32.90687112500018,женский,18.41789987499942, 45,,1,[22.362202124997566],[22.36220499999763],женский, 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.91447558299842,32.92334362499969,32.92334362499969,32.92334362499969,44.26370279099865,magic,11.340089665998676,1,[11.340089665998676],[11.340092375001404],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
0,0,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,44.27392908299953,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.26428904099885,44.27392908299953,44.27392908299953,44.27392908299953,56.788247749998845,ммммммммммммммммммммммммммммммм,1,[12.514166917000694],[12.514169917001709],31,31,12.524226249999629,56.7893007499988,56.80353654099963,56.80353654099963,56.80353654099963,56.80353654099963,56.80353654099963,56.80353654099963,69.08261283299726,86.0,9.072888334001618,78.0,11.872863749998942,1,[12.278696083001705],[12.278698250000161],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
0,0,0,1,"ВСТАВИТЬ пункт 1 шкалы веры в паранормальное (Григорьев, 2015)",TRB,0,space,2.4923700420004025,None,2.0,3.3267547499999637,,,,,,,,,0,0,0,0,0,0,0,0,71.63492525000038,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0828091250005,69.0880199159983,69.0880199159983,71.58472895799787,space,2.4923700420004025,None,71.61277474999952,71.63492525000038,71.63492525000038,74.94823924999946,2.0,3.3267547499999637,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
1,1,0,2,"ВСТАВИТЬ пункт 2 шкалы веры в паранормальное (Григорьев, 2015)",Psi,0,space,2.4923700420004025,None,3.0,0.8056933329971798,,,,,,,,,0,0,0,0,0,1,1,1,74.9629217499969,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.95383458299693,74.9629217499969,74.9629217499969,75.77275387500049,3.0,0.8056933329971798,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
2,2,0,3,"ВСТАВИТЬ пункт 3 шкалы веры в паранормальное (Григорьев, 2015)",Witch,0,space,2.4923700420004025,None,4.0,0.4913574999991397,,,,,,,,,0,0,0,0,0,2,2,2,75.78482316599911,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77535416599858,75.78482316599911,75.78482316599911,76.2755676659981,4.0,0.4913574999991397,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
3,3,0,4,"ВСТАВИТЬ пункт 4 шкалы веры в паранормальное (Григорьев, 2015)",Super,0,space,2.4923700420004025,None,5.0,0.4452149169992481,,,,,,,,,0,0,0,0,0,3,3,3,76.287791499999,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27803316599966,76.287791499999,76.287791499999,76.73279991599702,5.0,0.4452149169992481,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
4,4,0,5,"ВСТАВИТЬ пункт 5 шкалы веры в паранормальное (Григорьев, 2015)",Spirit,0,space,2.4923700420004025,None,6.0,0.6745832080014225,,,,,,,,,0,0,0,0,0,4,4,4,76.74473324999781,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.73500174999936,76.74473324999781,76.74473324999781,77.42291858299723,6.0,0.6745832080014225,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
5,5,0,6,"ВСТАВИТЬ пункт 6 шкалы веры в паранормальное (Григорьев, 2015)",ELF,0,space,2.4923700420004025,None,1.0,0.7066151670005638,,,,,,,,,0,0,0,0,0,5,5,5,77.43465962499977,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4253448749987,77.43465962499977,77.43465962499977,78.14143183299893,1.0,0.7066151670005638,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,2026-09-11_21h25.25.009,magic_vkr,,2025.1.1,118.75185765184541,2026-09-11 21h25.32.695530 +0400,
