thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_before.keys,tob_instr_key_before.rt,tob_instr_key_before.duration,tob_slider_before.response,tob_slider_before.rt,debug_loop.thisRepN,debug_loop.thisTrialN,debug_loop.thisN,debug_loop.thisIndex,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,tob_items_before.thisRepN,tob_items_before.thisTrialN,tob_items_before.thisN,tob_items_before.thisIndex,effort_loop.thisRepN,effort_loop.thisTrialN,effort_loop.thisN,effort_loop.thisIndex,tob_block_after.thisRepN,tob_block_after.thisTrialN,tob_block_after.thisN,tob_block_after.thisIndex,thisRow.t,notes,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,group,order,cost,debug,setup.started,setup_blank.started,setup_blank.stopped,setup.stopped,tob_instr_before.started,tob_instr_text_before.started,tob_instr_key_before.started,tob_instr_before.stopped,tob_block_before.tob_instr_key_before.keys,tob_block_before.tob_instr_key_before.rt,tob_block_before.tob_instr_key_before.duration,tob_item_before.started,tob_text_before.started,tob_slider_before.started,tob_hint_before.started,tob_item_before.stopped,tob_items_before.tob_slider_before.response,tob_items_before.tob_slider_before.rt,tob_1,tob_rt_1,tob_2,tob_rt_2,tob_3,tob_rt_3,tob_4,tob_rt_4,tob_5,tob_rt_5,tob_6,tob_rt_6,tob_7,tob_rt_7,tob_8,tob_rt_8,tob_9,tob_rt_9,tob_10,tob_rt_10,tob_11,tob_rt_11,tob_12,tob_rt_12,tob_13,tob_rt_13,tob_14,tob_rt_14,tob_15,tob_rt_15,tob_16,tob_rt_16,tob_17,tob_rt_17,tob_18,tob_rt_18,tob_19,tob_rt_19,tob_20,tob_rt_20,tob_21,tob_rt_21,tob_22,tob_rt_22,tob_23,tob_rt_23,tob_24,tob_rt_24,tob_25,tob_rt_25,tob_26,tob_rt_26,choice.started,choice_text.started,btn_magic.started,btn_skip.started,choice.stopped,choice,choice_rt,btn_magic.numClicks,btn_magic.timesOn,btn_magic.timesOff,btn_skip.numClicks,btn_skip.timesOn,btn_skip.timesOff,effort.started,effort_text.started,effort_box.started,effort_done.started,effort.stopped,effort_loop.effort_box.text,effort_loop.effort_done.numClicks,effort_loop.effort_done.timesOn,effort_loop.effort_done.timesOff,effort_len,effort_m,effort_time,rating.started,rating_text.started,lbl_imp.started,importance.started,lbl_ctrl.started,control.started,rating_done.started,rating.stopped,importance.response,importance.rt,control.response,control.rt,rating_done.numClicks,rating_done.timesOn,rating_done.timesOff,suspicion.started,susp_text.started,susp_box.started,susp_done.started,suspicion.stopped,susp_box.text,susp_done.numClicks,susp_done.timesOn,susp_done.timesOff,code_entry.started,code_text.started,code_box.started,code_done.started,code_entry.stopped,code_box.text,code_done.numClicks,code_done.timesOn,code_done.timesOff,participant_code,RPBS_TRB,RPBS_Psi,RPBS_Witch,RPBS_Super,RPBS_Spirit,RPBS_ELF,RPBS_Precog,RPBS_total,RPBS_mean,thanks.started,thanks_text.started,thanks_key.started,thanks.stopped,thanks_key.keys,thanks_key.rt,thanks_key.duration,group,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01256916700003785,0.03007683399846428,0.03007683399846428,1.2785605419994681,space,1.0948432500008494,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,before,easy,0,1.278829750001023,1.2921277089990326,1.3879051670010085,1.375212625000131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
0,0,0,1,"Несмотря на то, что тело может умереть, душа продолжает существовать",TRB,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,0,0,0,,,,,,,,,6.596775624999282,,,,,,,,,1,,,,,,,,1.3783268340012,1.3879051670010085,1.3879051670010085,6.541143124999508,space,5.147195790999831,None,6.569034791999002,6.596775624999282,6.596775624999282,6.596775624999282,12.155009292000614,None,None,1,5.613278208998963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
1,1,0,2,Некоторые люди способны левитировать (поднимать) объекты силой мысли,Psi,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,1,1,1,,,,,,,,,12.172386541999003,,,,,,,,,1,,,,,,,,,,,,,,,12.161611416999222,12.172386541999003,12.172386541999003,12.172386541999003,13.077976208998734,None,None,,,2,0.9224511249994976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
2,2,0,3,Черная магия реально существует,Witch,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,2,2,2,,,,,,,,,13.091462208998564,,,,,,,,,1,,,,,,,,,,,,,,,13.08088562500052,13.091462208998564,13.091462208998564,13.091462208998564,13.585506458999589,None,None,,,,,3,0.505923000000621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
3,3,0,4,Черная кошка может принести невезение,Super,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,3,3,3,,,,,,,,,13.59909245900053,,,,,,,,,1,,,,,,,,,,,,,,,13.58785729200099,13.59909245900053,13.59909245900053,13.59909245900053,14.109855874998175,None,None,,,,,,,4,0.46582170799956657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
4,4,0,5,Ваше сознание или душа могут покидать Ваше тело и путешествовать (астральная проекция),Spirit,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,4,4,4,,,,,,,,,14.128388249999261,,,,,,,,,1,,,,,,,,,,,,,,,14.113529124999332,14.128388249999261,14.128388249999261,14.128388249999261,14.632616709001013,None,None,,,,,,,,,5,0.5222090829993249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
5,5,0,6,Снежный человек существует,ELF,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,5,5,5,,,,,,,,,14.644984874998045,,,,,,,,,1,,,,,,,,,,,,,,,14.635672749998776,14.644984874998045,14.644984874998045,14.644984874998045,15.149780291998468,None,None,,,,,,,,,,,6,0.5162232080001559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
6,6,0,7,Астрология — это способ точного предсказания будущего,Precog,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,6,6,6,,,,,,,,,15.166056499998376,,,,,,,,,1,,,,,,,,,,,,,,,15.15347970899893,15.166056499998376,15.166056499998376,15.166056499998376,15.688047416999325,None,None,,,,,,,,,,,,,7,0.5377274579986988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
7,7,0,8,Дьявол существует,TRB,0,space,5.147195790999831,None,None,None,,,,,0,0,0,0,0,7,7,7,,,,,,,,,15.70164316699811,,,,,,,,,1,,,,,,,,,,,,,,,15.690406666999479,15.70164316699811,15.70164316699811,15.70164316699811,16.01929604199904,None,None,,,,,,,,,,,,,,,7,0.3292396249999001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-09-11_22h12.27.452,magic_vkr,,2025.1.1,None,2026-09-11 22h12.33.204946 +0400,
