thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_before.keys,tob_instr_key_before.rt,tob_instr_key_before.duration,tob_slider_before.response,tob_slider_before.rt,debug_loop.thisRepN,debug_loop.thisTrialN,debug_loop.thisN,debug_loop.thisIndex,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,tob_items_before.thisRepN,tob_items_before.thisTrialN,tob_items_before.thisN,tob_items_before.thisIndex,thisRow.t,notes,surname,age,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,group,order,cost,debug,setup.started,setup_blank.started,setup_blank.stopped,setup.stopped,tob_instr_before.started,tob_instr_text_before.started,tob_instr_key_before.started,tob_instr_before.stopped,tob_block_before.tob_instr_key_before.keys,tob_block_before.tob_instr_key_before.rt,tob_block_before.tob_instr_key_before.duration,tob_item_before.started,tob_text_before.started,tob_slider_before.started,tob_hint_before.started,tob_item_before.stopped,tob_items_before.tob_slider_before.response,tob_items_before.tob_slider_before.rt,tob_1,tob_rt_1,tob_2,tob_rt_2,tob_3,tob_rt_3,tob_4,tob_rt_4,tob_5,tob_rt_5,tob_6,tob_rt_6,tob_7,tob_rt_7,tob_8,tob_rt_8,tob_9,tob_rt_9,tob_10,tob_rt_10,tob_11,tob_rt_11,tob_12,tob_rt_12,tob_13,tob_rt_13,tob_14,tob_rt_14,tob_15,tob_rt_15,tob_16,tob_rt_16,tob_17,tob_rt_17,фамилия,возраст,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,0.0091356659977464,0.019514957999490434,0.019514957999490434,1.520891832999041,space,1.3500973750014964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,before,easy,0,1.5211474999996426,1.530984790999355,1.6282638749980833,1.6173472909977136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
0,0,0,1,"Несмотря на то, что тело может умереть, душа продолжает существовать",TRB,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,0,0,0,2.2922756659972947,,,,,,,,,,,,,,,,,,,1.6201284159978968,1.6282638749980833,1.6282638749980833,2.2508299999972223,space,0.6182569590018829,None,2.2696252079986152,2.2922756659972947,2.2922756659972947,2.2922756659972947,4.245624290997512,None,None,1,1.9925562499993248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
1,1,0,2,Некоторые люди способны левитировать (поднимать) объекты силой мысли,Psi,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,1,1,1,4.261273915999482,,,,,,,,,,,,,,,,,,,,,,,,,,4.249846832997719,4.261273915999482,4.261273915999482,4.261273915999482,4.767990958000155,None,None,,,1,0.5203929999988759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
2,2,0,3,Черная магия реально существует,Witch,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,2,2,2,4.780679290997796,,,,,,,,,,,,,,,,,,,,,,,,,,4.770710665998195,4.780679290997796,4.780679290997796,4.780679290997796,5.110585540998727,None,None,,,,,1,0.3420012079986918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
3,3,0,4,Черная кошка может принести невезение,Super,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,3,3,3,5.120848499998829,,,,,,,,,,,,,,,,,,,,,,,,,,5.112497665999399,5.120848499998829,5.120848499998829,5.120848499998829,5.38474983299966,None,None,,,,,,,1,0.2725696669986064,,,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
4,4,0,5,Ваше сознание или душа могут покидать Ваше тело и путешествовать (астральная проекция),Spirit,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,4,4,4,5.399195624999265,,,,,,,,,,,,,,,,,,,,,,,,,,5.387868999998318,5.399195624999265,5.399195624999265,5.399195624999265,5.660014582997974,None,None,,,,,,,,,1,0.274849000001268,,,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
5,5,0,6,Снежный человек существует,ELF,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,5,5,5,5.6718752079978,,,,,,,,,,,,,,,,,,,,,,,,,,5.661719207997521,5.6718752079978,5.6718752079978,5.6718752079978,5.961660665998352,None,None,,,,,,,,,,,1,0.30106141600117553,,,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
6,6,0,7,Астрология — это способ точного предсказания будущего,Precog,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,6,6,6,5.973439290999522,,,,,,,,,,,,,,,,,,,,,,,,,,5.9642130409993115,5.973439290999522,5.973439290999522,5.973439290999522,6.295415665998007,None,None,,,,,,,,,,,,,1,0.33333108400256606,,,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
7,7,0,8,Дьявол существует,TRB,0,space,0.6182569590018829,None,None,None,,,,,0,0,0,0,0,7,7,7,6.306183790999057,,,,,,,,,,,,,,,,,,,,,,,,,,6.297119749997364,6.306183790999057,6.306183790999057,6.306183790999057,6.588142874999903,None,None,,,,,,,,,,,,,,,1,0.29106991599837784,,,,,,,,,,,,,,,,,,,сс,22,2026-09-11_22h22.25.731,magic_vkr,,2025.1.1,91.13364587005096,2026-09-11 22h22.31.785061 +0400,
