thisN,thisTrialN,thisRepN,item_n,text,subscale,reverse,tob_instr_key_before.keys,tob_instr_key_before.rt,tob_instr_key_before.duration,tob_slider_before.response,tob_slider_before.rt,debug_loop.thisRepN,debug_loop.thisTrialN,debug_loop.thisN,debug_loop.thisIndex,tob_block_before.thisRepN,tob_block_before.thisTrialN,tob_block_before.thisN,tob_block_before.thisIndex,tob_items_before.thisRepN,tob_items_before.thisTrialN,tob_items_before.thisN,tob_items_before.thisIndex,thisRow.t,notes,surname,age,welcome.started,welcome_text.started,welcome_key.started,welcome.stopped,welcome_key.keys,welcome_key.rt,welcome_key.duration,group,order,cost,debug,setup.started,setup_blank.started,setup_blank.stopped,setup.stopped,tob_instr_before.started,tob_instr_text_before.started,tob_instr_key_before.started,tob_instr_before.stopped,tob_block_before.tob_instr_key_before.keys,tob_block_before.tob_instr_key_before.rt,tob_block_before.tob_instr_key_before.duration,tob_item_before.started,tob_text_before.started,tob_slider_before.started,tob_hint_before.started,tob_item_before.stopped,tob_items_before.tob_slider_before.response,tob_items_before.tob_slider_before.rt,tob_1,tob_rt_1,tob_2,tob_rt_2,tob_3,tob_rt_3,tob_4,tob_rt_4,tob_5,tob_rt_5,tob_6,tob_rt_6,tob_7,tob_rt_7,tob_8,tob_rt_8,tob_9,tob_rt_9,фамилия,возраст,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,0.01185820801765658,0.018627791025210172,0.018627791025210172,1.3132257500255946,space,0.5813437080068979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,before,easy,0,1.3134086250211112,1.3227248750044964,1.4221501249994617,1.4096789160103071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
0,0,0,1,"Несмотря на то, что тело может умереть, душа продолжает существовать",TRB,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,0,0,0,2.857083708018763,,,,,,,,,,,,,,,,,,,1.4125163750140928,1.4221501249994617,1.4221501249994617,2.8089566660055425,space,1.3841802909737453,None,2.831064083002275,2.857083708018763,2.857083708018763,2.857083708018763,5.561251708015334,None,None,1,2.7507763330067974,,,,,,,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
1,1,0,2,Некоторые люди способны левитировать (поднимать) объекты силой мысли,Psi,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,1,1,1,5.572417083021719,,,,,,,,,,,,,,,,,,,,,,,,,,5.564322666003136,5.572417083021719,5.572417083021719,5.572417083021719,6.669764958001906,None,None,,,4,1.1081273749878164,,,,,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
2,2,0,3,Черная магия реально существует,Witch,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,2,2,2,6.679985833005048,,,,,,,,,,,,,,,,,,,,,,,,,,6.671788666018983,6.679985833005048,6.679985833005048,6.679985833005048,8.203144625003915,None,None,,,,,7,1.531851709005423,,,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
3,3,0,4,Черная кошка может принести невезение,Super,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,3,3,3,8.213023041025735,,,,,,,,,,,,,,,,,,,,,,,,,,8.204981916001998,8.213023041025735,8.213023041025735,8.213023041025735,9.336975625017658,None,None,,,,,,,3,1.1334205419989303,,,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
4,4,0,5,Ваше сознание или душа могут покидать Ваше тело и путешествовать (астральная проекция),Spirit,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,4,4,4,9.347817958012456,,,,,,,,,,,,,,,,,,,,,,,,,,9.339627666020533,9.347817958012456,9.347817958012456,9.347817958012456,10.14753895800095,None,None,,,,,,,,,5,0.8100641669880133,,,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
5,5,0,6,Снежный человек существует,ELF,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,5,5,5,10.159321000013733,,,,,,,,,,,,,,,,,,,,,,,,,,10.149757708015386,10.159321000013733,10.159321000013733,10.159321000013733,11.480563250021078,None,None,,,,,,,,,,,7,1.33115587499924,,,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
6,6,0,7,Астрология — это способ точного предсказания будущего,Precog,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,6,6,6,11.492892958020093,,,,,,,,,,,,,,,,,,,,,,,,,,11.483432041015476,11.492892958020093,11.492892958020093,11.492892958020093,12.827643041004194,None,None,,,,,,,,,,,,,1,1.3466860830085352,,,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
7,7,0,8,Дьявол существует,TRB,0,space,1.3841802909737453,None,None,None,,,,,0,0,0,0,0,7,7,7,12.83765083301114,,,,,,,,,,,,,,,,,,,,,,,,,,12.829185958020389,12.83765083301114,12.83765083301114,12.83765083301114,13.510887500015087,None,None,,,,,,,,,,,,,,,2,0.6826509590027854,,,1,11,2026-09-15_00h22.47.092,magic_vkr,,2025.1.1,119.42443301036542,2026-09-15 00h22.53.291685 +0400,
